"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Dec 08 19:24:19 IST 2021","Wed Dec 08 19:24:19 IST 2021","1","","Perform product purchasal: Sign out and sign in user","","Perform product purchasal: Sign out and sign in user","","",""
"passed","Wed Dec 08 19:23:59 IST 2021","Wed Dec 08 19:24:00 IST 2021","215","","Perform product purchasal: Validate firstname and lastname on home page","","Perform product purchasal: Validate firstname and lastname on home page","Then Verify firstname and lastname","Then Verify firstname and lastname",""
"passed","Wed Dec 08 19:24:07 IST 2021","Wed Dec 08 19:24:10 IST 2021","2794","","Perform product purchasal: Sign out and sign in user","","Perform product purchasal: Sign out and sign in user","When I Sign out from application","When I Sign out from application",""
"passed","Wed Dec 08 19:24:00 IST 2021","Wed Dec 08 19:24:07 IST 2021","7433","","Perform product purchasal: Sign out and sign in user","","Perform product purchasal: Sign out and sign in user","Given I am on the home page","Given I am on the home page",""
"passed","Wed Dec 08 19:25:07 IST 2021","Wed Dec 08 19:25:07 IST 2021","49","","Perform product purchasal: Checkout product and verify product details","","Perform product purchasal: Checkout product and verify product details","And Verify Printed Dress Product details","And Verify Printed Dress Product details",""
"passed","Wed Dec 08 19:24:25 IST 2021","Wed Dec 08 19:25:07 IST 2021","42092","","Perform product purchasal: Checkout product and verify product details","","Perform product purchasal: Checkout product and verify product details","Then I navigate to payments page","Then I navigate to payments page",""
"passed","Wed Dec 08 19:23:57 IST 2021","Wed Dec 08 19:23:57 IST 2021","1","","Perform product purchasal: Create a new user account","","Perform product purchasal: Create a new user account","","",""
"passed","Wed Dec 08 19:24:00 IST 2021","Wed Dec 08 19:24:00 IST 2021","0","","Perform product purchasal: Validate firstname and lastname on home page","","Perform product purchasal: Validate firstname and lastname on home page","","",""
"passed","Wed Dec 08 19:22:43 IST 2021","Wed Dec 08 19:23:57 IST 2021","73570","","Perform product purchasal: Create a new user account","","Perform product purchasal: Create a new user account","Then I should create a new user account","Then I should create a new user account",""
"passed","Wed Dec 08 19:24:19 IST 2021","Wed Dec 08 19:24:25 IST 2021","6057","","Perform product purchasal: Checkout product and verify product details","","Perform product purchasal: Checkout product and verify product details","When I add product Printed Dress to cart","When I add product Printed Dress to cart",""
"passed","Wed Dec 08 19:25:07 IST 2021","Wed Dec 08 19:25:07 IST 2021","2","","Perform product purchasal: Checkout product and verify product details","","Perform product purchasal: Checkout product and verify product details","","",""
"passed","Wed Dec 08 19:23:57 IST 2021","Wed Dec 08 19:23:59 IST 2021","2578","","Perform product purchasal: Validate firstname and lastname on home page","","Perform product purchasal: Validate firstname and lastname on home page","When I navigate to home page","When I navigate to home page",""
"passed","Wed Dec 08 19:24:19 IST 2021","Wed Dec 08 19:24:19 IST 2021","91","","Perform product purchasal: Checkout product and verify product details","","Perform product purchasal: Checkout product and verify product details","Given I am signed in with created user credentials","Given I am signed in with created user credentials",""
"passed","Wed Dec 08 19:22:40 IST 2021","Wed Dec 08 19:22:43 IST 2021","2999","","Perform product purchasal: Create a new user account","","Perform product purchasal: Create a new user account","When I navigate to SignUp page","When I navigate to SignUp page",""
"passed","Wed Dec 08 19:22:27 IST 2021","Wed Dec 08 19:22:40 IST 2021","12692","","Perform product purchasal: Create a new user account","","Perform product purchasal: Create a new user account","Given I am on the home page","Given I am on the home page",""
"passed","Wed Dec 08 19:24:10 IST 2021","Wed Dec 08 19:24:19 IST 2021","8930","","Perform product purchasal: Sign out and sign in user","","Perform product purchasal: Sign out and sign in user","Then Sign in into user account","Then Sign in into user account",""
"passed","Wed Dec 08 19:23:57 IST 2021","Wed Dec 08 19:23:57 IST 2021","54","","Perform product purchasal: Validate firstname and lastname on home page","","Perform product purchasal: Validate firstname and lastname on home page","Given I am on the My account page","Given I am on the My account page",""
